"logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
-3.58337166666667,4.27699916666667,-7.88531989589843,1.85067776475071e-07,0.00460448627869978,6.79687132681714,"NM_058237 // PPP4R4"
-3.37936,6.77608166666667,-7.1980067033713,7.03008173936528e-07,0.00701093887874576,5.69906973501729,"NM_006032 // CPNE6"
-3.66186833333334,5.28864583333333,-7.09850226925951,8.57367977742777e-07,0.00701093887874576,5.53348912660925,"NM_030919 // FAM83D"
-2.95846,5.83774333333333,-6.96244075988356,1.12716059143822e-06,0.00701093887874576,5.30434684849244,"NM_032806 // C3orf39"
2.17173833333333,3.58804583333333,6.26179322757238,4.79586018690263e-06,0.0234634500505318,4.07491678128943,"NM_014957 // DENND3"
1.11057,2.56964833333333,6.18370121732048,5.65838827585171e-06,0.0234634500505318,3.93284913110871,"NM_001130917 // LILRA2"
-2.98432,4.88266166666667,-5.95508309327615,9.22351131442309e-06,0.026760397925203,3.51132539599037,"NM_003287 // TPD52L1"
-3.061465,5.4934325,-5.92160040356145,9.91316083560966e-06,0.026760397925203,3.44889965687287,"NM_001184 // ATR"
-2.69143,6.12378166666667,-5.90244680123183,1.03312540262033e-05,0.026760397925203,3.41311124792024,"AK091207 // DENND1B"
-2.53926166666667,6.88691916666667,-5.88379539338344,1.07557869474289e-05,0.026760397925203,3.37820682146807,"NM_013964 // NRG1"
-2.64020833333333,5.18101583333333,-5.79976540919609,1.29021573172266e-05,0.0291823340047817,3.22029240969538,"NM_004112 // FGF11"
-2.82393833333334,5.8696075,-5.62314035288858,1.89644487665516e-05,0.038018745787307,2.88491821614842,"NM_015225 // PRUNE2"
-3.12026166666667,3.78677583333333,-5.59414582128326,2.02092351359423e-05,0.038018745787307,2.82942742903082,"ENST00000397016 // CPNE6"
-3.00428166666667,5.5658175,-5.56821674920521,2.13931849285489e-05,0.038018745787307,2.77970140370356,"NM_004616 // TSPAN8"
3.2276,4.529365,5.50301073260932,2.46944296387096e-05,0.0386954213343997,2.65423052962128,"NM_198098 // AQP1"
-2.57917833333333,4.33145083333333,-5.49953252455167,2.48845153275882e-05,0.0386954213343997,2.64752093867874,"NM_016141 // DYNC1LI1"
-3.02877166666667,4.36923916666667,-5.44045466556241,2.83517797795419e-05,0.0414936635832355,2.53330213404539,"NM_000550 // TYRP1"
-2.49090333333333,3.90468166666667,-5.3714995585087,3.30300043441814e-05,0.0442193554826175,2.39938609544564,"NM_172347 // KCNG4"
-2.167905,4.99068083333333,-5.36153081349465,3.37688004087513e-05,0.0442193554826175,2.37997338084324,"BX538100 // NRG4"
-2.51093666666667,4.87730833333333,-5.29520538231343,3.91334256312482e-05,0.0462853689375545,2.25048173524023,"BC074735 // DENND1B"
2.71839333333333,4.59298166666667,5.27508647182746,4.09269780470772e-05,0.0462853689375545,2.21108952611973,"NM_000096 // CP"
-2.76313833333333,6.72512583333333,-5.26084467834854,4.22471095303418e-05,0.0462853689375545,2.18317327860315,"NM_025208 // PDGFD"
-2.12472333333334,5.13446666666667,-5.24003491260375,4.42546064267951e-05,0.0462853689375545,2.14233652832765,"NM_002804 // PSMC3"
-2.38832,4.57190333333333,-5.22849137809261,4.54098872118822e-05,0.0462853689375545,2.11966019370898,"NM_052844 // WDR34"
2.733575,5.05079083333333,5.16763355309824,5.2029281377356e-05,0.0462853689375545,1.9998369040645,"NM_000064 // C3"
-1.782895,3.60506083333333,-5.15080855785864,5.40273117036959e-05,0.0462853689375545,1.96663027298723,"NM_053005 // HCCA2"
-2.96353,5.64777666666667,-5.12563152582128,5.71642457989103e-05,0.0462853689375545,1.91687621317915,"NM_006240 // PPEF1"
-2.11876166666667,4.8943975,-5.11160368872733,5.89919055525694e-05,0.0462853689375545,1.88912217741989,"NM_138573 // NRG4"
2.513245,5.1279175,5.10548441336581,5.98077112088689e-05,0.0462853689375545,1.87700794645018,"NM_006495 // EVI2B"
-2.65266333333333,4.569445,-5.10525414720864,5.98386329974624e-05,0.0462853689375545,1.87655200644611,"NM_031925 // TMEM120A"
2.08921333333333,4.40569,5.10343704340983,6.00832185152995e-05,0.0462853689375545,1.87295382025607,"NM_001114086 // CLIC5"
-2.63741166666667,4.51825916666667,-5.09910555280675,6.06703587639057e-05,0.0462853689375545,1.86437514588225,"NM_007027 // TOPBP1"
-2.42603166666667,6.56857916666667,-5.0938445078899,6.13913655522226e-05,0.0462853689375545,1.85395250838558,"NM_019601 // SUSD2"
-2.19376166666667,7.07025583333333,-5.05911346232104,6.63751410937179e-05,0.0475809946122548,1.78506653267938,"NM_152679 // SLC10A4"
-1.915305,3.56103583333333,-5.05538103480464,6.69346789159532e-05,0.0475809946122548,1.77765534896762,"NM_002973 // ATXN2"
-2.31766166666667,5.10880583333333,-5.0412639722643,6.90947732121849e-05,0.0477521654866433,1.74960990837289,"NM_003470 // USP7"
-2.15021833333333,4.8124075,-5.02812609855653,7.11687446795677e-05,0.0478561720980444,1.72348954409385,"NM_001463 // FRZB"
-2.14132833333333,6.09581083333333,-5.01478096668066,7.33403149941401e-05,0.0480186062382686,1.69693733107921,"NM_032873 // UBASH3B"
