"logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","sig","Category"
-0.289521474666667,5.33075007918182,-0.815770504395899,0.41992121272188,0.982498285293076,-5.32108189173873,"HADHB","NS","Butyrate Metabolism"
0.505991877291667,-0.829521352090909,0.61345722943217,0.543376855284591,0.987857840026584,-5.44826498818959,"ACAT1","NS","Butyrate Metabolism"
-0.241258286166667,3.34780699890909,-0.485313496265009,0.630353219718792,0.994960158591502,-5.51060488597764,"ACSS2","NS","Butyrate Metabolism"
-0.1709106855,0.534820335636364,-0.245500259111943,0.807443748254325,0.996973102287321,-5.58857960441379,"HADHA","NS","Butyrate Metabolism"
1.22197718645833,-1.81723396227273,1.55233240569077,0.129208039040701,0.953236740164019,-4.57691303082595,"FFAR2","NS","FFA Receptors"
-0.616292176541667,-1.26936566636364,-0.714732921435382,0.479318967380517,0.982498285293076,-5.3889596237233,"FFAR4","NS","FFA Receptors"
1.47661167345833,1.85841985454545,2.42955751553708,0.0201590027594206,0.823644969609991,-3.19469853376803,"MYD88","NS","Gut-Brain"
1.63468692395833,1.33060453409091,2.33348803732966,0.0252409201015825,0.828013552360612,-3.36820790823234,"CX3CR1","NS","Gut-Brain"
1.48738504420833,-0.338927388727273,2.1103989757978,0.0417375451667121,0.881209212137405,-3.7516808674977,"TREM2","NS","Gut-Brain"
0.736731028208333,-1.03516540618182,0.852830649192468,0.399312883413142,0.982498285293076,-5.29402754093588,"TLR4","NS","Gut-Brain"
1.9359074305,1.91989864672727,3.13449481732683,0.0033895042683505,0.570958638889392,-1.79046325168901,"HDAC4","NS","HDAC Targets"
1.28499131891667,1.77328913236364,2.12920235603728,0.0400479390797901,0.875923919349232,-3.72045431388531,"SIRT1","NS","HDAC Targets"
0.972454082833333,0.434682119636364,1.34990121028208,0.185356976501618,0.953236740164019,-4.82326385235298,"HDAC1","NS","HDAC Targets"
-0.926085686541667,-1.13201335027273,-1.13593384141705,0.263385083961586,0.968663060103365,-5.05002054911208,"HDAC5","NS","HDAC Targets"
0.286858421125,-0.162216281727273,0.390052660584733,0.698763685781015,0.996198681860579,-5.54765270213249,"HDAC2","NS","HDAC Targets"
-0.248722092458333,-0.690971297181818,-0.315623004694068,0.754085625803623,0.996198681860579,-5.57103672235795,"HDAC8","NS","HDAC Targets"
0.161781901666667,-0.626608500818182,0.175400453604854,0.861734047659224,0.999280496033431,-5.60174828168301,"HDAC6","NS","HDAC Targets"
-0.109234102958333,0.168819814363636,-0.146085091155169,0.884657732475815,0.999280496033431,-5.60595713444024,"SIRT3","NS","HDAC Targets"
0.0289214708333332,2.44899199063636,0.05440688537657,0.956907589609112,0.999567910291719,-5.61416928447609,"HDAC3","NS","HDAC Targets"
-0.0415770452083328,-1.20133840772727,-0.0524908065081823,0.958423742533023,0.999567910291719,-5.61426082224759,"HDAC7","NS","HDAC Targets"
1.497012384375,1.33791135554545,2.26570090761766,0.0294934122710053,0.829766814131632,-3.48767266313482,"NFKBIA","NS","NF-kB"
-0.997143150833333,-0.616721308454545,-1.37396506666863,0.177828619657591,0.953236740164019,-4.79556702110536,"NFKB1","NS","NF-kB"
0.689339402708333,-1.41680747690909,0.883623645168786,0.382680464463336,0.982498285293076,-5.27067514231465,"IKBKB","NS","NF-kB"
-0.612757502916667,-0.574477310636364,-0.818521355738018,0.418369491572037,0.982498285293076,-5.31911331182748,"RELA","NS","NF-kB"
1.09507275220833,-0.954514516272727,1.45944243053261,0.152993510463083,0.953236740164019,-4.6936922892871,"CASP1","NS","NLRP3"
0.450394870083332,-4.45598904581818,0.65921209672545,0.513895731831991,0.984682427774609,-5.4225617277589,"NLRP3","NS","NLRP3"
-0.458709795666667,-0.986999567454545,-0.604924622272835,0.548970212985168,0.987857840026584,-5.45285863061541,"IL18","NS","NLRP3"
-0.167013553083333,-1.09427240790909,-0.220535401588458,0.826682672701003,0.998843273611268,-5.5937708785667,"IL1B","NS","NLRP3"
-1.550240595,-2.12547855545455,-1.85446023984393,0.0717632612573503,0.916421944284119,-4.1553456836119,"SLC5A8","NS","Transporters"
-1.07632835166667,1.25595830190909,-1.66984843611876,0.103501600528343,0.930466779875521,-4.42036488681659,"SLC16A1","NS","Transporters"
